country_code,population,life_expectancy,hospital_beds_per_thousand,handwashing_facilities,male_smokers,female_smokers,diabetes_prevalence,cardiovasc_death_rate,extreme_poverty,gdp_per_capita,aged_70_older,aged_65_older,median_age,population_density,stringency_index
MOZ,32969520.0,60.85,0.7,12.227,29.1,5.1,3.3,329.942,62.9,1136.103,1.87,3.158,17.7,37.728,80.56
MRT,4736146.0,64.92,,15.95,,,2.42,232.347,6.0,3597.633,1.792,3.138,20.3,4.289,77.78
MSR,4413.0,74.16,,,,,,,,,,,,,
MTQ,367512.0,82.54,,,,,,,,,12.543,,45.7,,
MUS,1299478.0,74.99,3.4,,40.7,3.2,22.02,224.644,0.5,20292.745,5.884,10.945,37.4,622.962,97.22
MWI,20405318.0,64.26,1.3,8.704,24.7,4.4,3.94,227.349,71.4,1095.042,1.783,2.979,18.1,197.519,64.81
MYS,33938216.0,76.16,1.9,,42.4,1.0,16.74,260.942,0.1,26808.164,3.407,6.293,29.9,96.254,91.67
MYT,326113.0,79.46,,,,,,,,,2.411,,20.1,,
NAM,2567024.0,63.71,,44.6,34.2,9.7,3.94,243.811,13.4,9541.808,2.085,3.552,22.0,3.078,87.04
NCL,289959.0,77.55,,,,,23.36,,,,6.489,9.954,33.4,15.342,
NER,26207982.0,62.42,0.3,8.978,15.4,0.1,2.42,238.339,44.5,926.0,1.378,2.553,15.1,16.955,66.67
NGA,218541216.0,54.69,,41.949,10.8,0.6,2.42,181.013,,5338.454,1.447,2.751,18.1,209.588,85.65
NIC,6948395.0,74.48,0.9,,,,11.47,137.016,3.2,5321.444,3.519,5.445,27.3,51.667,24.07
NIU,1952.0,73.71,,,,,,,,,,,,,
NLD,17564020.0,82.28,3.32,,27.3,24.4,5.29,109.361,,48472.545,11.881,18.779,43.2,508.544,82.41
NOR,5434324.0,82.4,3.6,,20.7,19.6,5.31,114.316,0.2,64800.057,10.813,16.821,39.7,14.462,79.63
NPL,30547586.0,70.78,0.3,47.782,37.8,9.5,7.26,260.797,15.0,2442.804,3.212,5.809,25.0,204.43,97.22
NRU,12691.0,59.96,5.0,,36.9,43.0,24.07,,,12895.635,,,,682.45,
NZL,5185289.0,82.29,2.61,,17.2,14.8,8.08,128.797,,36085.843,9.72,15.322,37.9,18.206,96.3
OMN,4576300.0,77.86,1.6,97.4,15.6,0.5,12.61,266.342,,37960.709,1.53,2.355,30.7,14.98,100.0
OWID_AFR,1426736614.0,,,,,,,,,,,,,,
OWID_ASI,4721383370.0,,,,,,,,,,,,,,
OWID_CYN,382836.0,,,,,,,,,,,,,,
OWID_ENG,56550000.0,,,,,,,,,,,,,,
OWID_EUN,450146793.0,,,,,,,,,,,,,,
OWID_EUR,744807803.0,,,,,,,,,,,,,,
OWID_HIC,1250514600.0,,,,,,,,,,,,,,
OWID_KOS,1782115.0,,,,,,,,0.6,9795.834,,,,168.155,92.59
